Everything has changed.	semuanya telah berubah
Excellent, very extraordinary.	luar biasa sangat luar biasa
I really did.	aku benarbenar melakukannya
Like they all do.	seperti yang mereka semua lakukan
Do not do this.	jangan lakukan ini
That has to change.	itu harus berubah
Surely it will work.	pasti itu akan berhasil
Because one can never be too sure.	karena seseorang tidak pernah bisa terlalu yakin
We are in our own world again.	kami berada di dunia kami sendiri lagi
Good thing too.	hal yang baik juga
We would be better off without him.	kami akan lebih baik tanpa dia
He was completely invisible.	dia sama sekali tidak terlihat
In fact, he had already started.	bahkan dia sudah mulai
He makes me happy.	dia membuatku senang
I heard all about it.	saya mendengar semua tentang itu
Do the same for yourself.	lakukan hal yang sama untuk diri anda sendiri
Without him, nothing is meaningful.	tanpa dia tidak ada yang berarti
I need to know more.	saya perlu tahu lebih banyak
It means doing something you love to do.	itu berarti melakukan sesuatu yang anda suka lakukan
They do the job.	mereka melakukan pekerjaan
But that's wrong.	tapi itu salah
Or maybe it's me.	atau mungkin itu aku
Such a thing should not exist.	hal seperti itu seharusnya tidak ada
We'll just keep going.	kami hanya akan terus berjalan
He just wanted to see it.	dia hanya ingin melihatnya
You must be the first to enter every time.	anda harus menjadi yang pertama masuk setiap saat
He was part of them, part of the family.	dia adalah bagian dari mereka bagian dari keluarga
I haven't eaten anything.	saya belum makan apaapa
Previously, it was very simple.	sebelumnya itu sangat sederhana
Just being there lets you know.	hanya berada di sana membuat anda tahu
It must be him.	itu pasti dia
We have so little time.	kami memiliki begitu sedikit waktu
And you.	dan anda
More changes every year.	lebih banyak berubah setiap tahun
And then something happened.	dan kemudian sesuatu terjadi
How it makes you feel.	bagaimana itu membuat anda merasa
They were standing there.	mereka berdiri di sana
Time is our problem.	waktu adalah masalah kita
You can see that.	anda bisa melihat itu
He had so much love in the end.	dia memiliki begitu banyak cinta pada akhirnya
I want this to work for everyone!.	saya ingin ini bekerja untuk semua orang
At least now, they could be afraid and uncertain together.	setidaknya sekarang mereka bisa takut dan tidak pasti bersama
Even if you don't need me.	bahkan jika anda tidak membutuhkan saya
He is my man.	dia adalah orang saya
Everyone seemed to know something.	semua orang sepertinya tahu sesuatu
Maybe true, in one sense.	mungkin benar dalam satu hal
You know you want to see.	anda tahu anda ingin melihat
We had no work to do that day.	kami tidak punya pekerjaan yang dilakukan hari itu
Still, he did.	tetap saja dia melakukannya
Neither should you.	anda juga tidak seharusnya
Got something else for you.	punya sesuatu yang lain untuk anda
This can be difficult, but not impossible.	ini bisa sulit tetapi bukan tidak mungkin
But they are there.	tapi mereka ada di sana
Their world is the real world.	dunia mereka adalah dunia nyata
No, there is no reason to return.	tidak tidak ada alasan untuk kembali
That's what's happening right now.	itu yang terjadi saat ini
But it's not at all.	tapi itu tidak sama sekali
This can.	hal ini dapat
They will.	mereka akan melakukannya
Then no one knows where to go.	kemudian tidak ada yang tahu ke mana harus pergi
I saw the outside and the inside.	saya melihat bagian luar dan dalam
With me.	dengan saya
So you can go.	jadi kamu bisa pergi
Maybe you can talk to them.	mungkin anda bisa berbicara dengan mereka
He couldn't seem to stop.	dia seperti tidak bisa berhenti
Let me numb.	biarkan aku mati rasa
You will see, it will help you.	anda akan melihat itu akan membantu anda
It's not something that happens quickly.	itu bukan sesuatu yang terjadi dengan cepat
This is not a new day.	ini bukan hari yang baru
You start, you know.	anda mulai anda tahu
It is very important to everything we do.	sangat penting untuk semua yang kita lakukan
I didn't know that.	aku jadi tidak tahu itu
He looks the same.	dia tampak sama
Not even him.	bahkan bukan dia
He is with another woman.	dia bersama wanita lain
I work my way.	saya bekerja dengan cara saya
You all have said something wrong.	anda semua telah mengatakan sesuatu yang salah
It's best to keep it simple.	yang terbaik adalah tetap sederhana
Everything works but there is a problem.	semuanya bekerja tetapi ada masalah
You don't have to like them.	anda tidak harus menyukai mereka
And work at it again.	dan bekerja di itu lagi
However, you are quite right.	namun anda cukup benar
He's tougher.	dia lebih keras
But it won't be the last.	tapi itu bukan yang terakhir
You should see my house.	anda harus melihat rumah saya
And he always will be.	dan dia akan selalu begitu
I am happy that this will be my home.	saya senang bahwa ini akan menjadi rumah saya
But that's not happening now.	tapi itu tidak terjadi sekarang
He won't be a problem.	dia tidak akan menjadi masalah
He said some really bad things.	dia mengatakan beberapa hal yang sangat buruk
This could be bad.	ini bisa jadi buruk
So many women also have real work to do.	begitu banyak wanita juga memiliki pekerjaan nyata yang harus dilakukan
He would hardly speak.	dia hampir tidak akan berbicara
Just me and him.	hanya aku dan dia
Not that yet.	belum itu
Runs all year round.	berjalan sepanjang tahun
People will lose money.	orang akan kehilangan uang
Finally, the voice came in.	akhirnya suara itu masuk
He must have wanted to know who this man was.	dia pasti ingin tahu siapa pria ini
It might as well go.	hal itu mungkin juga pergi
He didn't want others to know he was here.	dia tidak ingin orang lain tahu dia ada di sini
But it's not really.	tapi itu tidak benarbenar
That won't help.	itu tidak akan membantu
He has another one.	dia punya satu lagi
We don't need that now.	kami tidak membutuhkan itu sekarang
He seems like a very good old man.	sepertinya dia orang tua yang sangat baik
That would be awesome for anyone.	itu akan luar biasa bagi siapa pun
It doesn't matter if we look.	tidak masalah jika kita melihat
We have the best of both worlds.	kami memiliki yang terbaik dari dua dunia
I don't want to do it.	saya tidak ingin melakukannya
Still good, but.	masih bagus tapi
He thought it was impossible.	dia pikir itu tidak mungkin
But that's not our case.	tapi itu bukan kasus kami
Even if you are a woman.	bahkan jika anda seorang wanita
You might say it's good.	anda mungkin mengatakan itu bagus
He had to take it all.	dia harus mengambil semuanya
For now, that's enough.	untuk saat ini itu sudah cukup
I'm glad to see you.	senang melihat anda
I already feel better.	aku sudah merasa lebih baik
I know you can do it.	aku tahu kamu bisa melakukannya
I want you to get that.	saya ingin anda mendapatkan itu
I have one from a long time ago.	aku punya satu dari waktu yang lama
That's completely out of the question.	itu benarbenar keluar dari pertanyaan
We will see more of this.	kita akan melihat lebih banyak lagi dari ini
I'll keep this simple.	saya akan tetap sederhana ini
Really like love and love.	benarbenar seperti cinta dan cinta
He will never again.	dia tidak akan pernah lagi
Time doesn't matter.	waktu tidak masalah
That's not at all the right thing to do.	itu sama sekali bukan hal yang tepat untuk dilakukan
There is another way.	ada cara lain
The people looked inside.	orangorang itu melihat ke dalam
He's wrong.	dia salah
He's amazing, still doing it.	dia luar biasa masih melakukannya
That's really bad.	itu benarbenar buruk
Stay alive.	tetap hidup
He will be seen.	dia akan terlihat
This is after two.	ini setelah dua
This is the good part.	ini adalah bagian yang baik
But they keep coming back.	tapi mereka terus datang kembali
We're out here.	kami berada di luar di sini
There must be more to it.	harus ada lebih dari itu
My people are good.	orangorang saya baik
He was looking at them.	dia sedang melihat mereka
But, it doesn't do that.	tapi itu tidak melakukan itu
I'm not afraid either.	aku juga tidak takut
But in this case.	tapi dalam kasus ini
And from there it got better and better.	dan dari sana menjadi lebih baik dan lebih baik
We lost so much.	kami kehilangan begitu banyak
So are the others.	begitu juga yang lain
One way to go about this.	salah satu cara untuk pergi tentang ini
We know who they are.	kita tahu siapa mereka
About time too.	tentang waktu juga
And in some ways, neither did he.	dan dalam beberapa hal dia juga tidak
But we go anyway.	tapi kita tetap pergi
So, no problem.	jadi tidak masalah
It started there.	itu mulai ada
So far away, like that.	begitu jauh seperti itu
Maybe a man.	mungkin seorang pria
It's not impossible that could happen.	bukan tidak mungkin itu bisa terjadi
But you will know.	tapi anda akan tahu
I will believe that will change.	saya akan percaya itu akan berubah
Maybe even in the best way.	bahkan mungkin di jalan terbaik
It just seems easy.	hanya tampaknya dengan mudah
Which of course not.	yang tentu saja tidak
The same thing is happening.	hal yang sama sedang terjadi
I've found it.	saya sudah menemukan itu
We have that too.	kami juga punya itu
We may never get there.	kita mungkin tidak akan pernah sampai di sana
It's never been there before.	itu belum pernah ada sebelumnya
Think and think.	berpikir dan berpikir
But he knew it was true.	tapi dia tahu itu benar
But no one came.	tapi tidak ada yang datang
I've been thinking about doing it myself actually.	aku sudah berpikir untuk melakukannya sendiri sebenarnya
You don't seem to.	anda tampaknya tidak
It always happens.	itu selalu terjadi
I think it should be possible.	saya pikir itu harus mungkin
You stand up, finally.	anda berdiri akhirnya
He doesn't do that anymore.	dia tidak melakukan itu lagi
I want to be sick.	saya ingin sakit
This time it happened.	kali ini terjadi
I saw many dead.	saya melihat banyak yang mati
And he's not home.	dan dia tidak ada di rumah
I would say it's the latter.	saya akan mengatakan itu yang terakhir
I would never, in my life, do that.	saya tidak akan pernah dalam hidup saya melakukan itu
No, not necessarily, no.	tidak belum tentu tidak
We have stopped.	kami telah berhenti
People love to work there.	orangorang senang bekerja di sana
It's very small and fast.	ini sangat kecil dan cepat
I like people.	saya suka orangorang
That's not how we talked back then.	bukan begitu cara kami berbicara saat itu
They will have another child.	mereka akan memiliki anak lain
He really likes women.	dia sangat menyukai wanita
I'm sick for you so.	saya sakit untuk anda begitu
But they will be back soon.	tapi mereka akan segera kembali
But many people may try.	tapi banyak orang mungkin mencoba
There's no way he would know.	tidak mungkin dia tahu
Every time, they make me.	setiap kali mereka membuat saya
Other people can't know.	orang lain tidak bisa tahu
But this is not always the case.	tapi ini tidak selalu terjadi
That's just today.	itu hanya hari ini
Every last one.	setiap yang terakhir
Until now so.	sampai sekarang begitu
This means nothing.	ini tidak berarti apaapa
In fact, the rest of us might not even be here.	bahkan kita yang lain mungkin juga tidak berada di sini
However, there is no other way around it.	namun tidak ada jalan lain untuk itu
Doing this seems to help a bit.	melakukan hal ini tampaknya sedikit membantu
I know you can.	aku tahu kamu bisa
And it must be because of love.	dan itu harus karena cinta
We try to make something out of it in our lives.	kami mencoba untuk membuat sesuatu dari itu dalam hidup kita
I think they should.	saya pikir mereka harus
They went so fast.	mereka pergi begitu cepat
Just make it happen.	hanya membuat itu terjadi
And he sure will come back again.	dan dia yakin akan kembali lagi
I will not speak like that.	saya tidak akan berbicara seperti itu
That's not too bad.	itu tidak terlalu buruk
Because you can actually get to those people.	karena anda benarbenar bisa sampai ke orangorang itu
You don't see much of that in life.	anda tidak melihat banyak hal itu dalam hidup
And they will want to succeed at this.	dan mereka akan ingin berhasil dalam hal ini
She works for him.	dia bekerja padanya
There may be some too many of you.	mungkin ada beberapa terlalu banyak dari anda
That he would die.	bahwa dia akan mati
He did his best.	dia melakukan yang terbaik
And there are several reasons for this.	dan ada beberapa alasan untuk ini
Big enough for two families.	cukup besar untuk dua keluarga
I think you.	saya pikir anda
Otherwise, little has changed.	jika tidak sedikit yang berubah
I have two children.	saya punya dua anak
I didn't lose two.	aku tidak kehilangan dua
He's like living out there.	dia seperti tinggal di luar sana
We know that we have to stay with our people.	kami tahu bahwa kami harus tetap bersama orangorang kami
He will do something about it.	dia akan melakukan sesuatu tentang itu
And it worked out pretty well.	dan itu berhasil dengan cukup baik
For it to happen twice, that's pretty awesome.	untuk itu terjadi dua kali itu sangat luar biasa
More like curiosity.	lebih seperti rasa ingin tahu
you need.	anda perlu
But when it does, it's fun.	tapi ketika itu terjadi itu menyenangkan
Afraid of everything.	takut semuanya
It's all about my life.	ini semua tentang hidup saya
He could see no reason for that.	dia tidak bisa melihat alasan untuk itu
Obviously, nothing happened.	jelas tidak ada yang terjadi
He continues to work.	dia terus bekerja
But they are all the same in one way.	tapi semuanya sama dalam satu hal
We can't do it alone.	kita tidak bisa melakukannya sendiri
You get out of here.	anda keluar dari sini
For your people.	untuk orangorang anda
Once, there.	sekali ada
Some remain.	beberapa tetap
He did it, you know.	dia melakukannya anda tahu
And there are many.	dan ada banyak
They don't seem to have been there before.	mereka sepertinya tidak pernah ke sana sebelumnya
It was enough to make him sick.	itu sudah cukup untuk membuatnya sakit
Not really good, as it happens.	tidak benarbenar baik seperti yang terjadi
However, it is not visible.	namun itu tidak terlihat
Not like other parents.	tidak seperti orang tua orang lain
There's always something worse.	selalu ada yang lebih buruk
All the way down.	sepanjang jalan ke bawah
They are right on this.	mereka benar dalam hal ini
He will definitely be a part of the job.	dia pasti akan menjadi bagian dari pekerjaan
Because there really isn't a problem here.	karena sebenarnya tidak ada masalah di sini
Trying to do the right thing.	mencoba melakukan hal yang benar
Do not look at me.	jangan lihat aku
We'll make it.	kami akan berhasil
He didn't feel too good about it, himself.	dia tidak merasa terlalu baik tentang hal itu dirinya sendiri
Last year he definitely did.	tahun lalu dia pasti melakukannya
But it almost happened.	tapi itu hampir terjadi
I have nothing to fear.	saya tidak perlu takut
Maybe make it taste better.	mungkin membuat rasa yang lebih baik
Going back to sleep is impossible.	kembali tidur tidak mungkin
He shouldn't have come back here.	dia seharusnya tidak kembali ke sini
Again, maybe this isn't the right time.	sekali lagi mungkin ini bukan waktu yang tepat
This person is still small.	orang ini masih kecil
He will talk to me.	dia akan berbicara dengan saya
Sick all the time.	sakit sepanjang waktu
It's been so bad.	sudah sangat buruk
Not that it matters now.	bukan berarti itu penting sekarang
I can hear every little sound.	aku bisa mendengar setiap suara kecil
But not him.	tapi bukan dia
However, this is nothing new.	namun ini bukan hal baru
Some things can go wrong.	beberapa hal bisa salah
They have more important things to do.	mereka memiliki halhal yang lebih penting untuk dilakukan
You will get your money and then some.	anda akan mendapatkan uang anda dan kemudian beberapa
Then we have two cases.	kemudian kami memiliki dua kasus
They walked on.	mereka berjalan terus
We are the first people.	kami adalah orangorang pertama
And because of that, it needed a place to do it.	dan karena itu perlu tempat untuk melakukannya
Only one of these may be true for some people.	hanya salah satu dari ini yang mungkin benar bagi sebagian orang
And it's the same way.	dan itu adalah jalan yang sama
We think we know where.	kami pikir kami tahu di mana
I think it will help.	saya pikir itu akan membantu
It's only one person.	ini hanya satu orang
This one happens faster.	yang ini terjadi lebih cepat
I don't know what they do.	saya tidak tahu apa yang mereka lakukan
Not sure what it's like.	belum yakin seperti apa itu
I like to be attractive.	saya suka menjadi menarik
No one saw anyone else.	tidak ada yang melihat orang lain
Everyone here knows that.	semua orang di sini tahu itu
He could tell.	dia bisa tahu
Almost everyone was afraid of him.	hampir semua orang takut padanya
So let him.	jadi biarkan dia
But then he didn't know.	tapi kemudian dia tidak tahu
I do not know.	saya sendiri tidak tahu
He's big, he's strong, he's strong.	dia besar dia kuat dia kuat
Most of the time the best comes out.	sebagian besar waktu yang terbaik keluar
He is very kind.	dia sangat baik
You stand here and look at us.	anda berdiri di sini dan melihat kami
The pain is far away.	rasa sakit itu jauh
I just have to say this.	saya hanya harus mengatakan ini
But not immediately.	tapi tidak segera
It will always return true.	itu akan selalu kembali benar
We've been there.	kami pernah ke sana
She's a family woman.	dia wanita keluarga
It doesn't seem to help much.	tampaknya tidak banyak yang membantu
That's true to this day.	itu benar sampai hari ini
But he kept trying.	tapi dia tetap mencoba
This one is not true.	yang satu ini tidak benar
Next time they can't.	lain kali mereka tidak bisa
I had a good time.	aku memiliki waktu yang bagus
And it's really hard.	dan itu benarbenar sulit
But then it got better.	tapi kemudian menjadi lebih baik
It's a big world out there.	ini adalah dunia besar di luar sana
But that's not true in every case.	tapi itu tidak benar dalam setiap kasus
He couldn't find a reason for this.	dia tidak bisa menemukan alasan untuk ini
This should be.	ini seharusnya
Excruciating pain.	rasa sakit yang luar biasa
He sleeps badly.	dia tidur dengan buruk
Yes, it can.	ya itu bisa
Someone must know.	seseorang harus tahu
There is only one thing we can do now.	hanya ada satu hal yang bisa kita lakukan sekarang
Something bad is happening.	sesuatu yang buruk sedang terjadi
It's okay, even.	tidak apaapa bahkan
He was scared and wanted to leave.	dia takut dan ingin pergi
This may not happen to you quickly.	ini mungkin tidak terjadi pada anda dengan cepat
He could do it, he knew.	dia bisa melakukannya dia tahu
This seems impossible.	ini sepertinya tidak mungkin
But still impossible.	tapi tetap tidak mungkin
It has to come out.	itu harus keluar
There was nothing he could do about it now.	tidak ada yang bisa dia lakukan tentang itu sekarang
There's no one here at all.	tidak ada orang sama sekali di sini
So you are missing a lot.	jadi anda kehilangan banyak hal
But for now you have to think.	tapi untuk saat ini anda harus berpikir
And that's only the first day.	dan itu baru hari pertama
He doesn't need me to do that.	dia tidak membutuhkan saya untuk melakukan itu
Like, really sick.	seperti benarbenar sakit
You seem to know a lot about this.	anda tampaknya tahu banyak tentang ini
I like to think like that.	saya suka berpikir seperti itu
He came in.	dia masuk
It seems he did.	tampaknya dia melakukannya
We have a reason.	kami punya alasan
I like this.	saya suka ini
And he didn't just walk away.	dan dia tidak pergi begitu saja
He never had time.	dia tidak pernah punya waktu
We're in big trouble here.	kami dalam masalah besar di sini
I must have done something right.	saya pasti telah melakukan sesuatu yang benar
In fact, he was sure he would.	sebenarnya dia yakin dia akan melakukannya
Yes, it should be.	ya harus begitu
They just exist.	mereka hanya ada
They are good for us.	mereka baik untuk kita
This is done in this section.	ini dilakukan di bagian ini
You don't have to do everything yourself.	anda tidak harus melakukan semuanya sendiri
No one at all.	tidak ada orang sama sekali
Many, many more.	banyak banyak lagi
Something for everyone there!.	sesuatu untuk semua orang di sana
They all stay down.	mereka semua tetap di bawah
It's not fear.	itu bukan rasa takut
you haven't.	anda belum
You have to talk to me.	anda harus berbicara dengan saya
Won't.	tidak akan
Or we won't.	atau kita tidak akan melakukannya
Finally he spoke.	akhirnya dia berbicara
And you don't have to.	dan anda tidak perlu melakukannya
However, he didn't want to do that.	namun dia tidak ingin melakukan itu
He had his own questions for them.	dia punya pertanyaan sendiri untuk mereka
I like the people there.	saya menyukai orangorang di sana
I started to get scared.	saya mulai takut
No, no one will see it.	tidak tidak ada yang akan melihatnya
This is not family.	ini bukan keluarga
But he didn't say anything about it.	tapi dia tidak mengatakan apaapa tentang itu
And that's for sure.	dan itu pasti
It didn't happen to me.	itu tidak terjadi pada saya
I've been very precise.	aku sudah sangat tepat
He is clearly a good person.	dia jelas orang yang baik
And it happened so fast.	dan itu terjadi begitu cepat
At least change more.	setidaknya berubah lebih banyak
I would say it's too good.	saya akan mengatakan itu terlalu bagus
I heard that voice again.	aku mendengar suara itu lagi
And you talk to us.	dan anda berbicara dengan kami
It's all so easy, just to take.	semua itu begitu mudah hanya untuk mengambil
He went into another one.	dia masuk ke satu lagi
He's been gone a long time.	dia sudah lama pergi
But that's not much, see.	tapi itu tidak banyak lihat
New every year.	yang baru setiap tahun
He wasn't afraid.	dia tidak takut
I've seen it work, big time.	saya telah melihatnya bekerja waktu besar
You are no better than him.	kamu tidak lebih baik dari dia
And we know what we need to do.	dan kami tahu apa yang perlu kami lakukan
Back long.	kembali lama
I believe the second.	saya yakin yang kedua
What did he do .	apa yang dia lakukan
From here, everything is quite simple.	dari sini semuanya cukup sederhana
He should be asleep.	dia seharusnya sudah tidur
Never too much of a good thing.	tidak pernah terlalu banyak hal yang baik
I know a lot about him, but of course not everything.	aku tahu banyak tentang dia tapi tentu saja tidak semuanya
That won't be enough.	itu tidak akan cukup
But, it quickly got easier.	tapi dengan cepat menjadi lebih mudah
I heard him speak.	aku mendengar dia berbicara
This sound is very different.	suara ini sangat berbeda
At that time.	saat itu
I will try anything, at least once.	saya akan mencoba apa saja setidaknya sekali
This is not your case.	ini bukan kasus anda
They have stopped walking.	mereka telah berhenti berjalan
But no one said much.	tapi tidak ada yang berbicara banyak
However, that was all he did.	namun hanya itu yang dia lakukan
But it's not necessary.	tapi itu tidak perlu
It should definitely be done.	itu pasti harus dilakukan
But there was something else about him.	tapi ada sesuatu yang lain tentang dia
But they are too big.	tapi mereka terlalu besar
I get that a lot from my parents.	saya mendapatkan itu banyak dari orang tua
You have a good one.	anda memiliki yang baik
It never seems to work.	sepertinya tidak pernah berhasil
He didn't do that.	dia tidak melakukan itu
I don't believe this one bit.	saya tidak percaya ini sedikit pun
That's fun too.	itu juga menyenangkan
I didn't find anything.	saya tidak menemukan apaapa
I don't feel like the old me anymore.	saya tidak merasa seperti saya yang tua lagi
There it is.	ada itu
Be in the right place at the right time.	berada di tempat yang tepat pada waktu yang tepat
It can happen anywhere.	itu bisa terjadi di mana saja
That's not amazing.	itu tidak luar biasa
He didn't want to sleep.	dia tidak ingin tidur
Just let him in.	biarkan saja dia masuk
I thought for sure that this was it.	saya berpikir dengan pasti bahwa ini dia
Many people have done it.	sudah banyak orang yang melakukannya
And everyone.	dan semua orang
I hope it doesn't have to go this way.	saya berharap itu tidak harus pergi dengan cara ini
The old man seemed to be sleeping.	orang tua itu sepertinya sedang tidur
He tried here.	dia mencoba di sini
And still they come back.	dan tetap saja mereka kembali
But almost no one believed it.	tapi hampir tidak ada yang percaya
He knew women like that.	dia tahu wanita seperti itu
Everything is in front of you.	semuanya ada di depan anda
Do something big, or do something small.	lakukan sesuatu yang besar atau lakukan sesuatu yang kecil
They have their job to do.	mereka memiliki pekerjaan mereka untuk dilakukan
We will not go anywhere else.	kami tidak akan pergi ke tempat lain
It needs everyone.	ini membutuhkan semua orang
How should he know? 	bagaimana dia harus tahu
I don't.	aku tidak
Only one thing if it is different.	hanya satu hal jika itu berbeda
He can be big.	dia bisa menjadi besar
It's nothing you do.	bukan apaapa yang anda lakukan
It's the first day of the new year.	ini hari pertama di tahun baru
Maybe it will happen another way.	mungkin itu akan terjadi dengan cara lain
They left again.	mereka pergi lagi
It will really make you stronger.	itu benarbenar akan membuat anda lebih kuat
This time let me in.	kali ini biarkan aku masuk
Both live there with their families.	keduanya tinggal di sana bersama keluarga mereka
After that everything worked fine.	setelah itu semuanya bekerja dengan baik
It's only here, now.	hanya ada di sini sekarang
They have to find.	mereka harus menemukan
Maybe they'll never say anything.	mungkin mereka tidak akan pernah mengatakan apaapa
The others were already there.	yang lain sudah ada di sana
But much more remains to be done.	tetapi masih banyak lagi yang harus dilakukan
It doesn't really matter right now.	itu tidak terlalu penting saat ini
Some continue to get sick.	beberapa terus sakit
You said nothing was wrong.	anda mengatakan tidak ada yang salah
You've come to the right place.	anda telah datang ke tempat yang tepat
I can do it.	saya pasti bisa
He says there is no question about it.	dia mengatakan tidak ada pertanyaan tentang itu
But we are still here.	tapi kami masih di sini
However, this did not happen.	namun ini tidak terjadi
I want us to be together.	aku ingin kita bersama
Or maybe it was someone else.	atau mungkin itu orang lain
He almost spoke, then stopped himself.	dia hampir berbicara lalu berhenti sendiri
You have to do it.	anda harus melakukannya
That seems like an important part.	itu tampak seperti bagian penting
That's probably where it is.	itu mungkin di mana itu
And it seems to me that he does.	dan bagi saya tampaknya dia melakukannya
We hardly saw him.	kami hampir tidak melihatnya
Today, life is good.	hari ini hidup itu baik
He didn't even look at them.	dia bahkan tidak melihat mereka
We didn't work together for too long.	kami tidak bekerja bersama terlalu lama
Nothing comes out at all.	tidak ada yang keluar sama sekali
They are quite interesting.	mereka cukup menarik
But it doesn't have to be.	tapi tidak harus begitu
He didn't like this one bit.	dia tidak suka ini sedikit pun
I need them more than they need me.	saya membutuhkan mereka lebih dari mereka membutuhkan saya
She didn't really expect him to leave.	dia tidak benarbenar berharap dia pergi
This will work.	ini akan berhasil
That's very unusual.	itu sangat tidak biasa
Now they are better.	sekarang mereka lebih baik
Many people do.	banyak orang melakukannya
I always do, and then it just happens.	saya selalu melakukannya dan kemudian itu terjadi begitu saja
And there's nothing you can do.	dan tidak ada yang bisa anda lakukan
It's about me.	ini tentang saya
You're not here to think.	anda tidak di sini untuk berpikir
Or at least something like that.	atau setidaknya sesuatu seperti itu
But it could be worse.	tapi itu bisa lebih buruk
you know, and he is.	anda tahu dan dia
It really couldn't be easier.	ini benarbenar tidak bisa lebih mudah
I am very sick.	saya sangat sakit
I want that to happen.	saya ingin itu terjadi
But they must be wrong.	tapi mereka pasti salah
There's always a reason.	selalu ada alasan
He's very old.	dia sangat tua
The man is dead here now.	pria itu sudah mati di sini sekarang
There were a lot of people who saw this coming.	ada banyak orang yang melihat ini datang
You make it happen.	anda membuatnya terjadi
It is my home and my family's.	itu adalah rumah saya dan keluarga saya
And there is another reason.	dan ada alasan lain
But they were never seen.	tapi mereka tidak pernah terlihat
If nothing goes wrong.	jika tidak ada yang salah
It's hard to change.	sulit untuk berubah
It costs money.	ini membutuhkan uang
So now you know how it happened.	jadi sekarang anda tahu bagaimana itu terjadi
But he was happy to be home.	tapi dia senang berada di rumah
I like all those people.	saya suka semua orang itu
But he is our man, he must.	tapi dia adalah orang kita dia harus
See, so many problems.	lihat begitu banyak masalah
Everyone stopped talking.	semua orang berhenti berbicara
At least he had his own bed.	setidaknya dia punya tempat tidur sendiri
There, we all lived together.	di sana kami semua tinggal bersama
But you have to try.	tapi anda harus mencoba
It's faster and better.	ini lebih cepat dan lebih baik
He seemed too afraid to speak.	dia tampak terlalu takut untuk berbicara
Always go go go.	selalu pergi pergi pergi
Maybe come to this.	mungkin sampai pada ini
All of this is important.	semua ini penting
Just nothing else happened.	hanya tidak ada lagi yang terjadi
We have to start today.	kita harus mulai hari ini
I will cooperate, of course.	saya akan bekerja sama tentu saja
On someone like me.	pada seseorang seperti saya
I didn't expect that to happen.	saya tidak berharap itu akan terjadi
You have to do this for me.	anda harus melakukan ini untuk saya
If anything like that ever comes out.	jika yang seperti itu pernah keluar
He's doing really well out there.	dia melakukannya dengan sangat baik di luar sana
Let your way of thinking really change.	biarkan cara berpikir anda benarbenar berubah
That's nothing new.	itu bukan hal baru
That's long enough for that.	itu cukup lama untuk itu
Where are you now?.	di mana kamu sekarang
Taste is real taste.	rasa adalah rasa yang sebenarnya
We would still be out there if it weren't for this.	kami akan tetap berada di luar sana jika bukan karena ini
You have truly earned your own place.	anda telah benarbenar mendapatkan tempat anda sendiri
He couldn't see what they were.	dia tidak bisa melihat apa mereka
Some are not that interesting.	beberapa tidak begitu menarik
Still they have some way to go.	masih mereka memiliki beberapa cara untuk pergi
It couldn't have worked better for us.	itu tidak bisa bekerja lebih baik bagi kami
Those people came from below.	orangorang itu datang dari bawah
Let him do it.	biarkan dia melakukannya
We never seem to have enough time together.	kami sepertinya tidak pernah punya cukup waktu bersama
Maybe someone works with it and can help me.	mungkin seseorang bekerja dengan itu dan dapat membantu saya
They really are.	mereka benarbenar
It didn't do him well.	itu tidak dilakukan dengan baik padanya
Nothing works well.	tidak ada yang bekerja dengan baik
Not really anything.	tidak terlalu apaapa
I've always been small.	aku selalu kecil
Some have been very helpful.	beberapa telah sangat membantu
You don't even have to leave the house.	bahkan tidak perlu keluar rumah
The problem is here too.	masalah juga ada di sini
But he is the real thing.	tapi dia adalah hal yang nyata
I'm with him.	aku dengan dia
We believe you.	kami yakin anda
He just needed to get there.	dia hanya perlu sampai di sana
Nothing hurts, nothing scares me.	tidak ada yang sakit tidak ada yang membuatku takut
And a very good one.	dan satu yang sangat baik
Keep doing what works for you.	terus lakukan apa yang berhasil untuk anda
They won't be thinking anytime soon.	mereka tidak akan berpikir dalam waktu dekat
And then there's the woman.	dan kemudian ada wanita itu
And then we can start working on the inside.	dan kemudian kita bisa mulai bekerja di dalam
Both of them were afraid to come out and say anything.	keduanya takut untuk keluar dan mengatakan apa pun
It will stop.	ini akan berhenti
It makes a person look old.	itu membuat seseorang terlihat tua
He is both.	dia adalah keduanya
Simple, but definitely not easy.	sederhana tapi pasti tidak mudah
I thought it would look good.	saya pikir itu akan terlihat bagus
See above, p.	lihat di atas hal
Look, he's not even here.	lihat dia bahkan tidak ada di sini
Nothing strong here.	tidak ada yang kuat di sini
Better than before.	lebih baik dari sebelumnya
He immediately wished he hadn't.	dia segera berharap dia tidak melakukannya
It made him feel old.	itu membuatnya merasa tua
We made it last time.	kami berhasil terakhir kali
People will say you do it only for yourself.	orang akan mengatakan anda melakukannya hanya untuk diri sendiri
If you look at it, you won't see much.	jika anda melihatnya anda tidak akan melihat banyak
That may be true in some cases.	itu mungkin benar dalam beberapa kasus
You know where you are.	anda tahu di mana anda berada
He tried twice.	dia mencoba dua kali
But she knew the man wouldn't believe her.	tapi dia tahu pria itu tidak akan percaya padanya
Everything is working fine, but there is one thing.	semuanya bekerja dengan baik tetapi ada satu hal
Or they could go elsewhere.	atau mereka bisa pergi ke tempat lain
