There and then.	teo ary avy eo
Yes, he thought.	eny hoy izy nieritreritra
All the men were there.	teo aloha daholo ny lehilahy
But not in this one.	fa tsy aminity
That's a lot of money.	vola be io
But he is not the last.	tsy izy anefa no farany
There is too much life inside.	be loatra ny fiainana ao anatiny
He became dislike of everything.	lasa tsy tia ny zavadrehetra izy
This is very low.	ity dia ambany dia ambany
Not because it won’t happen anymore.	tsy hoe satria tsy hisy intsony izany
Housing is not a question.	tsy fanontaniana ny trano
Not at night.	tsy taminny alina
Others do it more.	ny hafa dia manao izany bebe kokoa
You don’t need that.	tsy mila izany ianao
Just working is okay.	miasa fotsiny dia mety
I just started it.	vao nanomboka izany aho
It seemed like part of it.	toy ny ampahany taminizany izany
At first, they weren’t very numerous.	taminny voalohany dia tsy dia maro loatra izy ireo
About the two of us, actually.	momba antsika roa raha ny marina
It all went that way in the end.	nandeha taminizany daholo izany taminny farany
We have a lot of it.	be dia be aminizany isika
This is just a fun time.	ity fotoana mahafinaritra ity ihany
However, this is also a problem.	na izany aza olana ihany koa izany
That's bad.	izany no ratsy
I don’t want to do it alone.	tsy te hanao izany irery aho
Many of them do not work.	maro aminizy ireo no tsy miasa
It’s too much for them.	be loatra ho azy ireo izany
Two products work.	vokatra roa no miasa
But this is.	fa ity dia
Fast and simple.	haingana sy tsotra
You have the idea.	manana ny hevitra ianao
You can go for it.	afaka mandeha aminizany ianao
I know that very well.	fantatro tsara izany
He himself said it.	izy mihitsy no nilaza izany
I said maybe.	hoy aho angamba
It’s best to keep them simple.	tsara raha atao tsotra fotsiny izy ireo
No words really said that.	tsy nisy teny tena nilaza izany
In this place.	aminity toerana ity
He could have done it all.	afaka nanao izany rehetra izany izy
This one is worse than the first.	ratsy noho ny voalohany ity iray ity
No big games.	tsy misy lalao lehibe
He can't see you today.	tsy afaka mahita anao izy anio
You can do this if you want.	azonao atao izany raha tianao
They did not stop.	tsy nijanona izy ireo
He is doing better and better.	manao tsara kokoa sy tsara kokoa izy
I will be there.	ho eo aho
I don't even know why.	tsy fantatro akory ny antony
Here is the story.	toy izao ny tantara
This is the worst idea.	io no hevitra ratsy indrindra
The game is the same.	ny lalao dia mitovy
Your type never does that.	tsy manao izany mihitsy ny karazana anao
Yes, it works well.	eny miasa tsara izy io
There is nothing for you right now.	tsy misy na inona na inona ho anao aminizao fotoana izao
I think that’s really good for us.	heveriko fa tena tsara ho antsika izany
Such a simple thing is of course more than that.	ny zavatra tsotra toy izany dia mazava ho azy fa mihoatra ny azy
He didn't want to do that anymore.	tsy te hanao izany intsony izy
Now, they love him.	ankehitriny tia azy izy ireo
If possible, of course.	raha mety mazava ho azy
There is too much around him.	be loatra ny manodidina azy
At first he couldn't even find a word.	taminny fotoana voalohany dia tsy nahita teny akory izy
We have two options.	manana safidy roa izahay
Sure it should.	azo antoka fa tokony
But he is going well.	saingy mandeha tsara izy
They really look at it.	tena mijery izany izy ireo
He needed another option.	nila safidy hafa izy
He loved her the most.	tiany indrindra izy
Only one night.	indray alina ihany
They are such wonderful people.	tena olona mahafinaritra tokoa izy ireo
However, general results are also possible.	na izany aza azo atao ihany koa ny vokatra ankapobeny
It seems normal.	toa mahazatra
I hope it will happen.	manantena aho fa ho tanteraka izany
We need to do it fast.	mila manao izany haingana isika
This idea is very wrong.	tena diso io hevitra io
But it takes time.	mila fotoana anefa izany
You’re pretty normal.	tsara tarehy mahazatra ianao
And therefore, it is not possible.	ary noho izany dia tsy azo atao izany
If we have a problem, this is it.	raha manana olana isika dia ity
This is where the problem begins.	eto no manomboka ny olana
That’s probably not the right way to go.	tsy izany angamba no fomba mety
Not mine.	tsy ny ahy
It’s a bit hard to work with.	somary sarotra ny miasa
The world has become simple, easy, not difficult.	lasa tsotra mora tsy sarotra izao tontolo izao
This one works and works well.	ity dia miasa ary miasa tsara
It was very difficult for me.	tena sarotra tamiko izany
Everything in the world is fast.	haingana ny zavadrehetra eto aminizao tontolo izao
I really am.	tena izany aho
I think that's what it is.	heveriko fa izany no izy
I still saw him.	mbola nahita azy aho
With other men.	miaraka aminny lehilahy hafa
Not enough space, of course.	tsy ampy ny toerana mazava ho azy
In the end, however, it is often simple.	aminny farany anefa matetika dia tsotra
Now, that won’t happen.	ankehitriny tsy hisy izany
There were only two things that mattered to me then.	zavatra roa ihany no zavadehibe tamiko taminizany
This is for all of us.	ho antsika rehetra ity
Both are good.	samy tsara ireo
A busy busy man.	lehilahy be atao be atao
There is nothing like it.	tsy misy toa azy
And you can do the same.	ary afaka manao izany koa ianao
Nor did they die immediately.	tsy maty eo no ho eo koa izy ireo
Then I saw something else.	nahita zavatra hafa indray aho avy eo
Something will come of it.	hisy zavatra ho avy aminizany
That man.	io lehilahy io
Just like people.	toy ny olona ihany
But, no matter what, they only had one.	saingy na inona na inona dia nanana iray ihany izy ireo
It could be simpler.	mety ho tsotra kokoa izany
Do it if you can.	ataovy izany raha azonao atao
They often do.	matetika izy ireo no manao izany
They have good food.	manana sakafo tsara izy ireo
It was hard for me to do it at first.	sarotra amiko ny manao azy aminny voalohany
He can do so much better than that.	afaka manao zavatra tsara lavitra noho izany izy
He’s really great.	tena lehibe izy
It’s not enough for just enough people.	tsy ampy ho anny olona ampy fotsiny izany
Of course, this is not true.	mazava ho azy fa tsy marina izany
It works like this.	miasa toy izao izy io
It’s so easy to find him now.	mora tokoa ny nahita azy ankehitriny
At any time, you can start all over again.	aminny fotoana rehetra dia afaka manomboka indray ianao
The story is very true.	tena marina ilay tantara
It’s fun to be together.	mahafinaritra ny miaraka
It's a good game.	lalao tsara io
It will simply be a new world for everyone.	ho tontolo vaovao ho anny rehetra fotsiny izy io
There were a lot of people too.	be dia be koa ny olona
Now there was always something.	ankehitriny dia nisy zavatra foana
They are with me.	miaraka amiko izy ireo
You may need to start working.	mila manomboka miasa angamba ianao
This is not a problem for me.	tsy olana amiko izany
Then they came here.	dia tonga eto izy ireo
No two days are the same.	tsy misy roa andro mitovy
But he loves you.	tia anao anefa izy
There is no time for things like this right now.	tsy misy fotoana ho anny zavatra toy ny aminizao fotoana izao
But there was no next part.	tsy nisy anefa ny ampahany manaraka
Something worse.	zavatra ratsy kokoa
It’s probably gone now.	efa lasa angamba izao
So, it is.	noho izany izy io
Such a thing is different.	hafa ihany ny zavatra toy izany
He can't be low.	tsy afaka ny ho ambany izy
I need them all.	mila azy rehetra aho
We all love to do that.	isika rehetra dia tia manao izany
Be as clear as possible.	ataovy mazava araka izay azo atao
He is a small man.	lehilahy kely izy
That's how it should be.	izay no tokony ho izy
It was a completely different world.	tontolo hafa tanteraka ilay izy
And to come.	ary ho avy
It's too big.	lehibe loatra izany
I know the truth.	fantatro ny marina
He is not doing very well.	tsy dia mandeha tsara izy
But it's a house.	fa trano io
And as soon as he came, he went.	ary raha vao tonga izy dia lasa
But not completely.	saingy tsy tanteraka
Other times, he said.	aminny fotoana hafa hoy izy
If he doesn’t do a good job.	raha tsy manao asa tsara izy
He didn't know that.	tsy fantany izay
The man is doing well.	mandeha tsara ilay lehilahy
And happy.	ary faly
I think so.	heveriko fa izany
It wasn't very good for me.	tsy dia tsara loatra tamiko ilay izy
Which is really good.	izay tena tsara
And, he knew he had to do it fast.	ary fantany fa tsy maintsy manao izany haingana izy
But he is very ugly.	tena ratsy tarehy anefa izy
This is the most important thing.	izany no zavadehibe indrindra
That’s the kind of idea.	izany no karazana hevitra
And have them.	ary manana azy ireo
But it’s all a method.	fa izany rehetra izany dia fomba
They had to stay where they were.	tsy maintsy nijanona teo aminny toerana nisy azy izy ireo
I'm good enough.	ampy tsara aho
But, again, it’s different.	saingy indray hafa izany
Time, the truth.	ny fotoana ny marina
That’s great.	izay no lehibe
It sounds silly, but it’s not.	toa adala izany saingy tsy izany
Even a little.	na dia kely aza
He is also lonely, which is very unusual.	irery ihany koa izy izay tena tsy mahazatra tokoa
But not too much.	tsy be loatra anefa
So we will do it.	noho izany dia hanao izany isika
That might just be a good thing.	mety ho zavatra tsara ihany izany
He would have done it, if he wanted to.	efa nanao izany izy raha tiany
And he doesn’t know why.	ary tsy fantany ny antony
If we really have.	raha manana tokoa isika
He said he was not like them.	nilaza izy fa tsy mitovy aminizy ireo izy
At one time.	aminny fotoana iray
And all is lost.	ary very daholo
Everyone.	ny olona tsirairay
Because this woman is alone.	satria irery io vehivavy io
It works really well.	tena miasa tsara
I got lost and went for it.	very aho ary nandeha ho azy
I almost did.	saika nanao izany aho
But that is only the first step.	izay ihany anefa no dingana voalohany
He is very real right now.	izy dia tena misy aminizao fotoana izao
He was a normal man.	lehilahy mahazatra izy
But women, he likes.	fa ny vehivavy tiany
Difficult years.	taona sarotra
It is not difficult.	tsy sarotra izany
Nothing looks good.	tsy misy toa tsara izany
It really works.	tena miasa izany
It’s really a story.	tena misy tantara izany
Here, there was nothing.	eto tsy nisy na inona na inona
The problem comes here.	tonga eto ny olana
We are alone now.	irery izahay izao
Everything belongs to everyone.	anny rehetra ny rehetra
If you don’t get one, you lose the guarantee.	raha toa ka tsy afaka ny iray ianao dia very ny antoka
And she will never be alone again.	ary tsy ho irery intsony izy
It will be beautiful one night.	ho tsara tarehy indray mandeha alina
Probably true too.	marina koa angamba
They are not very big.	tsy dia lehibe loatra izy ireo
And that is the problem.	ary io no olana
There was no reason.	tsy nisy antony
But to be there.	fa ho any
No one goes there.	tsy misy olona mandeha any
There are pros and cons.	misy ny mety sy ny tsy mety
We take action from them.	manao hetsika avy aminizy ireo izahay
That’s a good idea.	hevitra tsara izany
I think he likes her too.	heveriko fa tiany koa izy
They had what they needed.	nanana izay ilaina izy ireo
But not a lot of money.	fa tsy vola be
All of this is very important.	tena zavadehibe tokoa izany rehetra izany
This is similar to the next question.	izany dia mitovy aminny fanontaniana manaraka
Not from him.	tsy avy aminy
Of course, the reality is more complicated.	mazava ho azy fa sarotra kokoa ny zavamisy
That’s part of it.	izany no ampahany aminizany
That’s really all.	tena rehetra izany
Very convenient.	tena mety
Not even for you.	tsy ho anao akory
But it was fun.	nahafinaritra anefa izany
This is good news and bad.	vaovao tsara sy ratsy izany
Well, yes, of course they will.	eny eny mazava ho azy fa hanao izany izy ireo
Like no other place.	toy ny tsy misy toerana hafa
It’s all ours.	antsika daholo izany
If they only knew.	raha mba fantany ihany
Some love it, some don’t.	misy tia azy misy tsy tia
I went even further.	lasa lavitra kokoa aza aho
These are just questions.	fanontaniana ihany ireo
He said they were.	nilaza izy fa izy ireo
It’s not about that.	tsy momba izany
Sometimes you are wrong.	diso hevitra ianao indraindray
Of course, there are better people.	mazava ho azy fa misy olona tsara kokoa
That is, it may not be for everyone.	izany hoe mety tsy ho anny rehetra izany
Everyone looked at him.	nijery azy ny rehetra
Which is absolutely true.	izay marina tanteraka
Not a small thing.	tsy zavatra kely
It’s endless fun to watch.	mahafinaritra tsy misy farany ny mijery azy
If you lose one, you may lose a lot.	raha very iray ianao dia mety ho very be
He looks inside.	mijery ao anatiny izy
It must be the same man.	tsy maintsy io lehilahy io ihany
But it is a special job.	asa manokana anefa izany
Not when it comes to money, though.	tsy rehefa resaka vola na izany aza
It’s really, really good.	tena tsara dia tsara izany
No one works hard.	tsy misy miasa mafy
All missing.	rehetra tsy hita
And I said yes !.	dia hoy aho hoe eny
The game is the same.	toy izany koa ny lalao
There is no real food.	tsy misy tena sakafo
The war began.	nanomboka ny ady
They had been gone for two days.	efa roa andro izy ireo no tsy tao
Maybe he’s good.	tsara angamba izy
That's the way life is in general.	izany no fiainana aminny ankapobeny
He was not there yet.	mbola tsy nisy izy
I'll know it's you.	ho fantatro fa ianao io
Two at most.	roa raha be indrindra
We can always do more.	afaka manao bebe kokoa hatrany isika
This is good.	tsara ny izao
All this is not here or there.	tsy eto na any izany rehetra izany
There are so many of them.	be dia be ao aminy ireo
It will be beautiful.	ho tsara tarehy
However, nonetheless.	na izany aza na izany aza
It's been too long.	efa ela loatra
Most importantly, the image is feminine.	ny tena zavadehibe dia vehivavy ny sary
But I love it.	tiako anefa izany
It seems very difficult, but it is not possible.	toa sarotra be izany saingy tsy azo atao izany
Because it's hard.	satria mafy ilay izy
He did it quickly.	nanao izany haingana izy
There is nothing special about them.	tsy misy na inona na inona manokana aminizy ireo
I always get a lot of questions about it.	mahazo fanontaniana be dia be momba izany foana aho
They will love you for it.	ho tia anao izy ireo noho izany
It didn’t matter.	tsy nisy zavadehibe izany
Yes, you get the idea.	eny azonao ny hevitra
New life.	fiainana vaovao
He saw her right away.	nahita azy avy hatrany izy
You are unusual.	tsy mahazatra ianao
Very long.	tena ela be
But that seems to be the only way.	toa izany ihany anefa no lalana
Time is of the essence.	tena zavadehibe aminizany ny fotoana
I'm confused by that.	very hevitra aho aminizany
He recently thought of doing it himself.	vao haingana izy no nieritreritra ny hanao ny tenany
With so many other things you can do.	miaraka aminny zavatra maro hafa azonao atao
You look very beautiful.	hita fa tena tsara tarehy ianao
And it still does.	ary mbola manao izany
Somewhat lost.	somary very
We are women.	vehivavy izahay
There is nothing wrong there.	tsy misy diso any
Yes, we have to do it.	eny tsy maintsy manao izany isika
Then it came to me.	dia tonga tamiko izany
Then the story went.	dia nandeha izany tantara izany
But there was no time now.	tsy nisy fotoana anefa izao
They really did exist.	tena nisy tokoa izy ireo
He loves the good life.	tiany ny fiainana tsara
He was that age.	taminizany taona izany izy
It didn’t mean anything.	tsy nisy dikany na inona na inona izany
The word soon came.	tsy ela dia tonga ny teny
The first night didn’t go well.	tsy nandeha tsara ny alina voalohany
It's just wrong.	diso fotsiny izany
he is ours too.	antsika koa izy
I didn't see anything.	tsy nahita na inona na inona aho
In fact, they are not.	raha ny marina dia tsy izy ireo
I want to do more than just watch.	te hanao mihoatra noho ny mijery fotsiny aho
And he is not stupid.	ary tsy adala izy
We are always working on that.	miasa aminizany hatrany izahay
Yes, he will not.	eny tsy hanao izany izy
He is needed now, more than ever.	tena ilaina izy ankehitriny mihoatra noho ny taloha
Both said yes.	hoy ny roa hoe eny
That would be a fun thing for me.	mety ho zavatra mahafinaritra ho ahy izany
And there were other problems.	ary nisy olana hafa
Not much here.	tsy dia betsaka eto
There are many possibilities that are not understood.	betsaka ny mety tsy azo
You don't understand anything.	tsy azonao na inona na inona
We always come to him.	tonga hatrany ho azy izahay
There was a good reason.	nisy antony tsara
From then on, the word didn’t seem to come.	nanomboka teo dia toa tsy tonga ny teny
Although such a life was not easy, he did it.	na dia tsy mora aza ny fiainana toy izany dia nanao izany izy
Or better than usual.	na tsara kokoa noho ny mahazatra
Here is the story.	ity ny tantara
A lot of work needs to be done.	mila atao be dia be ny asa
Some of it started to make sense.	nanomboka nisy dikany ny sasany taminizany
First, and of course, this is not generally true.	voalohany ary mazava ho azy tsy marina aminny ankapobeny izany
They will never know.	tsy ho fantany mihitsy
And, in fact, that is exactly the reality.	ary raha ny marina izany indrindra no zavamisy
Must have a car.	tsy maintsy manana fiara
Not too far away.	tsy dia lavitra loatra
He already knew this woman.	efa fantany io vehivavy io
They can do it.	afaka manao izany izy ireo
It’s not that he’s missing.	tsy hoe tsy hita izy
It was definitely the same man, he told himself.	azo antoka fa io lehilahy io ihany hoy izy taminny tenany
It will be a beautiful thing.	ho zavatra tsara tarehy izany
They cannot be real.	tsy mety ho tena izy ireo
With all these people.	miaraka aminireo olona rehetra ireo
He fell in love with both of them.	lasa tia azy roa izy
People like that.	olona toa azy io
You need to have the final word on everything.	mila manana ny teny farany aminny zavadrehetra
It was real.	tena nisy tokoa ilay izy
The question is whether it is true or not.	ny fanontaniana dia hoe marina na tsia
The next day will do.	ny andro manaraka dia hanao
But some are hard to find.	sarotra hita anefa ny sasany
He had no idea.	tsy nanana hevitra izy
But it will be very difficult.	ho sarotra be anefa izany
But it’s a bit of a stretch.	somary kely anefa izany
He will do it again.	mbola hanao izany indray izy
Hard as you like.	mafy araka izay tianao
And very happy too.	ary tena faly koa
Really delicious food.	sakafo mahafinaritra tokoa
This is good and bad.	izany no tsara sy ratsy
But it is not found.	tsy hita anefa izany
I think he deserves it.	heveriko fa mendrika izany izy
He works hard for us.	miasa mafy ho antsika izy
Then he is still a problem.	dia mbola olana ihany izy
In him they were supreme.	tao aminy izy ireo no ambony indrindra
I had to have it.	tsy maintsy nanana izany aho
It was too good.	tsara loatra ilay izy
However, maybe he had an idea.	na izany aza angamba nanana hevitra izy
But we don't need him.	tsy mila azy anefa isika
It will be like this.	ho toy izao izany
And very little.	ary kely dia kely
I know that very well.	fantatro be izany
You are very beautiful.	tena tsara tarehy ianao
I see that.	hitako izany
And he did.	ary nanao izany izy
But that is all.	izay ihany anefa
In fact, it is real.	raha ny marina dia tena misy izy io
With a man.	miaraka aminny lehilahy iray
Of course, he had a choice to become one.	mazava ho azy fa nanana safidy ho lasa iray izy
Of course, things did not always go well.	mazava ho azy fa tsy nandeha tsara foana ny zavadrehetra
You are very important.	tena ilaina ianao
But, he’s not that fast.	saingy tsy dia haingana izy
It’s still a good road.	mbola lalana tsara izy io
And they do.	ary manao izany izy ireo
He is very close.	tena akaiky izy
I hope there won’t be any more.	manantena aho fa tsy hisy intsony
He doesn’t like the real thing.	tsy tiany ny tena izy
So other tasks may not work as well.	noho izany dia mety tsy mandeha koa ny asa hafa
The place was very crowded.	feno be ilay toerana
Not you, not them.	tsy ianao tsy izy ireo
They may not know it.	mety tsy ho fantany izany
And soon he would be gone, he knew.	ary tsy ho ela dia ho lasa izy fantany
But he doesn't have to work.	tsy mila miasa anefa izy
There was something else as well.	nisy zavatra hafa ihany koa
They are kind of new.	karazana vaovao izy ireo
Do it well and everything seems to be going well.	ataovy tsara ary toa mandeha ny zavadrehetra
He is not the real thing.	tsy izy no tena izy
And of course, that is not the case.	ary mazava ho azy fa tsy izany no izy
He had never come so hard and fast before.	mbola tsy tonga mafy sy haingana toy izany izy taloha
I don't know why.	tsy fantatro ny antony
The same was true last year.	toy izany koa ny taona lasa
But it’s also good.	saingy tsara ihany koa
Like this and that.	toy izao sy izao
It’s really fun to see it.	tena mahafinaritra tokoa ny mahita azy
Now the next one goes.	ankehitriny dia mandeha ny manaraka
It is not clear.	tsy mazava izany
See what works for you.	jereo izay mety aminao
But you look good.	fa ianao no tsara mijery
He is the other option.	izy no safidy hafa
And you need more.	ary mila bebe kokoa koa ianao
I know they will.	fantatro fa hanao izany izy ireo
I go with things.	mandeha aminny zavatra aho
If you can find it.	raha toa ka afaka mahita azy ianao
He is better than us.	tsara kokoa noho isika izy
It shouldn’t be hard to be with him.	tsy tokony ho sarotra ny miaraka aminy
A must have.	tsy maintsy manana izany
Or you can go.	na afaka mandeha ianao
But that is not entirely clear.	saingy tsy mazava tanteraka izany
So this thing is another year.	ka taona hafa izany zavatra izany
You may never understand.	mety tsy ho azonao mihitsy
There seemed to be a little bit of everything.	toa nisy kely ny zavadrehetra
An idea you may not know.	hevitra tsy fantatrao angamba
Lots of surroundings.	betsaka ny manodidina
You just can’t walk.	tsy afaka mandeha fotsiny ianao
A lot, a lot.	be dia be be dia be
I don’t see him as he used to be.	tsy hitako ho toy ny taloha izy
They are not good.	tsy tsara izy ireo
But it was a long time ago.	efa ela anefa no lasa
It works well, especially.	miasa tsara izy io indrindra
I fell in love with him.	lasa tia azy aho
This is the latest news.	izany no vaovao farany indrindra
We can't do anything.	tsy afaka manao na inona na inona izahay
In fact, it is not.	raha ny marina dia tsy izany
He has great things.	manana zavatra lehibe izy
It never happened.	tsy nisy mihitsy izany
No one will do it for you.	tsy misy olona hanao izany ho anao
I hope to be free next year.	manantena aho fa ho afaka aminny taona ho avy
It didn’t go to them.	tsy lasa azy ireo izany
It was there.	teo tokoa
That's where he wants to be right now.	teo no tiany hisy aminizao fotoana izao
Time is wasted.	very ny fotoana
He too had died in the past.	efa maty taminny lasa koa izy
He loves this thing.	tiany io zavatra io
I didn’t see much of it where I was.	tsy dia hitako loatra taminny toerana misy ahy izany
But that is not enough.	tsy ampy mihitsy anefa izany
I don't know him.	tsy fantatro izy
Impossible choice, sometimes.	safidy tsy azo atao indraindray
Maybe you don’t.	angamba tsy manao izany ianao
If you do, look at the options.	raha manao izany ianao dia jereo ny safidy
I was glad I did.	faly aho nanao izany
It stopped very quickly.	nijanona haingana be izany
They will all be beautiful.	ho tsara tarehy izy rehetra
It’s just crazy.	adala fotsiny izany
So that’s the story.	dia izay no tantara
He loves other people.	olona hafa no tiany
I find that to be completely untrue.	hitako fa tsy mety mihitsy izany
They could not see him.	tsy afaka nahita azy izy ireo
I think that’s important.	heveriko fa zavadehibe izany
I do it now.	manao izany aho izao
But in general it is not.	saingy aminny ankapobeny dia tsy izany
This is fast.	ity dia haingana
In fact, it’s very fast.	raha ny marina tena haingana be izany
We can’t start anywhere else.	tsy afaka manomboka aminny toerana hafa isika
It's okay for me to be with him too.	mety amiko koa ny miaraka aminy
It has to be a woman.	tsy maintsy vehivavy izany
I love having people.	tiako ny manana olona
This is the real thing.	ity no tena izy
He used to be less visible.	tsy dia hita loatra izy taloha
He was real and not very real, sometimes.	tena nisy izy ary tsy dia nisy loatra indraindray
Some are more stupid than others.	ny sasany adala kokoa noho ny hafa
It will be the same.	izany dia ho toy izany koa
It was not designed specifically.	tsy natao manokana izany
I like these.	tiako ireo
We all come, we all go.	tonga daholo isika mandeha daholo
Well, of course.	tsara mazava ho azy
It is indeed so.	dia izany tokoa
I'm happy with that.	faly aho aminizany
It's all here, in the same place.	eto ny rehetra aminny toerana iray ihany
I'm so happy for you.	tena faly ho anao aho
It always does one or the other.	manao iray na hafa foana izany
The problem should be on your end.	ny olana dia tokony ho eo aminny farany anao
I have a picture.	manana sary aho
But it is also important to start a conversation.	zavadehibe ihany koa anefa ny manomboka resaka
It does something.	manao zavatra izany
But in fact, not the least bit of evil.	fa raha ny marina tsy ny kely indrindra aminny ratsy
The work is very accessible to everyone.	ny asa dia tena mora azo ho anny rehetra
Not in a special place.	tsy aminny toerana manokana
This is wrong.	diso izao
But you are not yet.	saingy tsy mbola izany ianao
If any follow.	raha misy manaraka
There is news for you.	misy vaovao ho anao
They were still there.	mbola nisy izy ireo
But there is much more to it than that.	saingy misy zavatra betsaka kokoa noho izany
I have nothing on me.	tsy manana na inona na inona amiko aho
We stayed there for two main reasons.	nijanona tany izahay noho ny antony roa lehibe
I have never done a night out.	tsy mbola nanao alina mihitsy
And to be happy.	ary mba ho faly
We have no other choice.	tsy manana safidy hafa izahay
If they were not there, he was there for them.	raha tsy teo izy ireo dia teo ho azy ireo izy
I might as well know that.	mety ho fantatro izany
Just come here.	tonga eto fotsiny
It went.	nandeha izany
It was fun to watch these things.	nahafinaritra ny nijery ireo zavatra ireo
But it was absolutely necessary.	nila tanteraka anefa izany
He looked around himself.	nijery manodidina ny tenany izy
I have it all here.	manana azy rehetra eto aho
But generally he doesn’t.	saingy aminny ankapobeny dia tsy manao izany izy
He has come a long way now.	efa tonga lavitra izao izy
That is life.	izany no fiainana
It works really well.	tena miasa tsara izy io
Too many choices.	be loatra ny safidy
I want to do good.	te hanao ny tsara aho
If this sounds like you, you are in the right place.	raha toa ianao ka toa anao izany dia eo aminny toerana mety ianao
He has an idea.	manana hevitra izy
This game is definitely for you.	azo antoka fa ho anao ity lalao ity
He looks around.	mijery manodidina izy
It was a fun and very exciting time.	fotoana nahafinaritra sy tena nahafinaritra izany
Maybe he got everything wrong.	nahazo ny zavadrehetra tsy araka ny tokony ho izy angamba izy
Whether to do or not to do.	na manao na tsy manao
But he could not say that.	tsy afaka nilaza izany anefa izy
This is a game that is just a game.	ity dia lalao izay lalao fotsiny
He really loves us all.	tena tia anay rehetra izy
This is a great game for us.	lalao lehibe ho antsika io
They still work for them, for the most part.	mbola miasa ho azy ireo izy ireo aminny ankapobeny
In fact, this may be completely wrong for some.	raha ny marina dia mety ho diso tanteraka ho anny sasany izany
And of course it is.	ary mazava ho azy izany
In those days.	taminizany andro izany
We need that fight.	mila izany ady izany isika
Kind of crazy, but that's what it was.	karazana adala tokoa fa izay no nisy
I don't know if this is it.	tsy fantatro raha ity no izy
He has already said that.	efa nilaza izany izy
I didn’t find her pretty.	tsy nahita azy ho tsara tarehy aho
But it seems so.	saingy toa izany
Not very well done.	tsy dia tsara atao
Don't go too far.	aza mandeha lavitra
But the end result is the same.	mitovy ihany anefa ny vokatra farany
I know, he thought.	fantatro hoy izy nieritreritra
But we have one.	saingy manana iray isika
Still you.	mbola ianao ihany
I was not there for long.	tsy teo ela aho
He had to watch it for himself.	tsy maintsy nijery azy manokana izy
You may get lost in the end.	mety ho very ianao aminny farany
There are old problems.	misy ny olana taloha
People die like that.	maty toy izany ny olona
This is not the first time.	tsy vao voalohany izao
But that can be difficult.	mety ho sarotra anefa izany
This thing doesn’t have that problem.	ity zavatra ity dia tsy manana izany olana izany
But you didn’t.	saingy tsy nanao izany ianao
But he is not like that.	tsy toy izany anefa izy
This is a real event.	tena hetsika tokoa ity
But it is also close.	fa akaiky koa
Look at the picture.	jereo araka ny sary
It’s not worth it.	tsy mendrika izany
Really and thank you so much for these wonderful words.	tena ary misaotra indrindra aminireo teny mahafinaritra ireo
The former does not.	tsy manao izany ny teo aloha
You just don’t get it.	tsy azonao tsotra izao
I have it now.	manana izany aho izao
So don't do it.	koa aza manao izany
Maybe even himself.	na ny tenany aza angamba
My favorite is the photos and the car.	ny sary sy ny fiara no tena tiako
It’s also a fun job.	asa mahafinaritra ihany koa izy io
Which is indeed true.	izay marina tokoa
This is a big problem for him.	olana lehibe ho azy izany
It became less fun.	lasa tsy dia nahafinaritra intsony
It's just a fact of life.	zavamisy eo aminny fiainana fotsiny izany
There seemed to be no time.	toa tsy nisy fotoana
I was so happy to see both of them.	faly be aho nahita azy roa
Just in general, everything else.	ny ankapobeny ihany ny hafa rehetra
Whatever may be in it.	na inona na inona mety ho ao anatiny
Some work better than others.	ny sasany miasa tsara kokoa noho ny hafa
A little easier.	somary mora kokoa
Because, because, because.	satria satria satria
He never had another job.	tsy nanana asa hafa mihitsy izy
Like everyone else.	toy ny hafa rehetra
He is easy to find.	mora hita izy
There is no certainty of the next.	tsy misy azo antoka ny manaraka
For many people too.	ho anny olona maro koa
It just works really well.	tena miasa tsara fotsiny izy io
They were not the only ones there.	tsy izy ireo ihany no teo
But he was very important in those days.	tena zavadehibe anefa izy taminizany andro izany
It is best to be in a place with no roads.	ny tsara indrindra dia any aminny toerana tsy misy lalana
I like a lot of things.	betsaka ny zavatra tiako
I can't watch it now.	tsy afaka mijery izany aho izao
Not everyone is like that.	tsy ny rehetra no toy izany
I needed to think differently.	nila nieritreritra hafa aho
But he knew very little.	kely anefa ny zavatra fantany
When you have to work, you have to work.	rehefa tsy maintsy miasa dia tsy maintsy miasa
I didn't see anything else.	tsy nahita zavatra hafa aho
Bad and real.	ratsy sy tena izy
Maybe he knows everything about you.	angamba fantany daholo ny momba anao
Not too big.	tsy dia lehibe loatra
They did nothing wrong.	tsy nanao ratsy izy ireo
So here they are.	ka eto izy ireo
The one who will make the right choice.	ilay hanao safidy tsara
It doesn’t matter.	tsy zavadehibe izany
In real life, no.	aminny tena fiainana tsia
Just done.	vao avy nanao
The truth is you have already started doing it.	ny marina dia efa nanomboka nanao izany ianao
So is he.	toy izany koa izy
He is also fast.	haingana koa izy
Really crazy up there.	tena adala any ambony any
But it is also too far away.	lavitra loatra koa anefa izany
If only it had.	raha mba nisy izany
If only he had told her he loved her.	raha mba nilaza taminy izy fa tia azy
I’m a decent woman, you know.	vehivavy mendrika aho fantatrao
I hope he loses his job.	manantena aho fa very asa izy
That should not be possible.	tsy tokony ho azo atao izany
It may mean something to you.	mety hisy dikany aminao izany
But he knew he was right.	fantany anefa fa marina izy
We are not there yet.	mbola tsy tonga aminizany isika
He was often away and needed one.	matetika izy no tsy teo ka mila iray
They are simple.	tsotra izy ireo
Or just something fun.	na zavatra mahafinaritra fotsiny
That's enough.	ampy izay
